,Recall,Concept,Precision,F1Score,NumExp,Pattern Complexity,CPR,Encoding,Examples,TH,Accuracy,PC
0,28.57,No Door,39.68,33.22,5,,110.82,Agent,[178 267 201  14  25],0.2,42.57,10.0
1,3.14,No Door,40.74,5.83,5,,93.17,Agent,[178 267 201  14  25],0.5,49.29,10.0
2,50.4,Level Door,74.12,60.0,5,,190.92000000000002,Agent,[497 541 585 384 597],0.2,66.4,10.0
3,14.0,Level Door,92.11,24.31,5,,162.51,Agent,[497 541 585 384 597],0.5,56.4,10.0
4,63.2,Green Door,71.82,67.23,5,,204.21999999999997,Agent,[781 829 846 784 769],0.2,69.2,10.0
5,41.6,Green Door,84.55,55.76,5,,193.15,Agent,[781 829 846 784 769],0.5,67.0,10.0
6,43.6,Key Door,69.87,53.69,5,,175.87,Agent,[1022  989 1098  864  965],0.2,62.4,10.0
7,6.4,Key Door,80.0,11.85,5,,138.8,Agent,[1022  989 1098  864  965],0.5,52.4,10.0
8,56.0,Other Door,93.33,70.0,5,,225.32999999999998,Agent,[1127 1265 1258 1107 1218],0.2,76.0,10.0
9,28.4,Other Door,98.61,44.1,5,,191.01000000000002,Agent,[1127 1265 1258 1107 1218],0.5,64.0,10.0
10,42.4,Key,66.67,51.83,5,,169.67000000000002,Agent,[218 269 279 277 252],0.2,60.6,10.0
11,15.6,Key,79.59,26.09,5,,150.98999999999998,Agent,[218 269 279 277 252],0.5,55.8,10.0
12,52.8,Orb,64.08,57.9,5,,178.48000000000002,Agent,[ 564 1039 1045  164  592],0.2,61.6,10.0
13,24.0,Orb,95.24,38.34,5,,180.64,Agent,[ 564 1039 1045  164  592],0.5,61.4,10.0
14,63.14,No Door,60.38,61.73,5,,184.38,Autoencoder,[209 237 128  50 281],0.2,60.86,10.0
15,25.43,No Door,64.03,36.4,5,,145.03,Autoencoder,[209 237 128  50 281],0.5,55.57,10.0
16,56.0,Level Door,52.04,53.95,5,,160.24,Autoencoder,[503 540 451 462 550],0.2,52.2,10.0
