,Recall,Concept,Precision,F1Score,NumExp,PC,CPR,Encoding,Examples,TH,Accuracy
0,73.6,Level Door,80.35,76.83,1,10,231.74999999999997,Agent,[407],0.2,77.8
1,49.2,Level Door,46.42,47.77,1,10,141.82,Autoencoder,[572],0.2,46.2
2,58.8,Level Door,65.62,62.02,1,10,188.42000000000002,Classifier,[530],0.2,64.0
3,57.2,Level Door,49.31,52.96,1,10,155.71,Random,[409],0.2,49.2
4,80.0,Level Door,87.34,83.51,1,10,251.54000000000002,Agent,[482],0.2,84.2
5,43.2,Level Door,51.18,46.85,1,10,145.38,Autoencoder,[556],0.2,51.0
6,74.8,Level Door,82.02,78.24,1,10,236.01999999999998,Classifier,[387],0.2,79.2
7,64.8,Level Door,51.76,57.55,1,10,168.76,Random,[412],0.2,52.2
8,55.6,Level Door,81.29,66.03,1,10,208.29,Agent,[375],0.2,71.4
9,44.0,Level Door,45.64,44.8,1,10,135.44,Autoencoder,[471],0.2,45.8
10,44.8,Level Door,48.07,46.38,1,10,141.07,Classifier,[588],0.2,48.2
11,57.6,Level Door,48.48,52.65,1,10,154.28,Random,[465],0.2,48.2
12,52.8,Level Door,83.02,64.55,1,10,206.82,Agent,[394],0.2,71.0
13,44.0,Level Door,51.64,47.51,1,10,147.04,Autoencoder,[361],0.2,51.4
14,22.0,Level Door,32.35,26.19,1,10,92.35,Classifier,[480],0.2,38.0
15,46.4,Level Door,47.54,46.96,1,10,141.54,Random,[368],0.2,47.6
16,65.6,Level Door,73.21,69.2,1,10,209.60999999999999,Agent,[415],0.2,70.8
17,52.0,Level Door,47.27,49.52,1,10,146.27,Autoencoder,[369],0.2,47.0
18,78.4,Level Door,72.06,75.1,1,10,224.46,Classifier,[586],0.2,74.0
19,50.8,Level Door,50.4,50.6,1,10,151.6,Random,[367],0.2,50.4
20,53.2,Level Door,71.89,61.15,1,10,191.29000000000002,Agent,[444],0.2,66.2
21,60.4,Level Door,52.25,56.03,1,10,165.25,Autoencoder,[415],0.2,52.6
22,61.6,Level Door,60.63,61.11,1,10,183.03,Classifier,[416],0.2,60.8
23,48.0,Level Door,50.42,49.18,1,10,148.82,Random,[478],0.2,50.4
24,45.2,Level Door,90.4,60.27,1,10,205.8,Agent,[509],0.2,70.2
25,55.2,Level Door,53.7,54.44,1,10,162.7,Autoencoder,[448],0.2,53.8
26,74.4,Level Door,66.67,70.32,1,10,209.67,Classifier,[421],0.2,68.6
27,48.0,Level Door,50.85,49.38,1,10,149.65,Random,[567],0.2,50.8
28,58.8,Level Door,86.47,70.0,1,10,220.07,Agent,[586],0.2,74.8
29,50.0,Level Door,53.42,51.65,1,10,156.62,Autoencoder,[392],0.2,53.2
