,Pattern,CPR,Encoding,Pattern Complexity,Accuracy,F1Score,Examples,Precision,TH,Recall,Concept,NumExp
0,Single,241.42000000000002,Agent,10,79.6,80.68,[406 500 578 583 509],76.62,0.2,85.2,Level Door,5
1,Single,212.73000000000002,Agent,10,72.6,66.01,[406 500 578 583 509],86.93,0.5,53.2,Level Door,5
2,Single,193.32,Agent,10,55.0,65.44,[793 713 831 622 833],53.12,0.2,85.2,Green Door,5
3,Single,189.35999999999999,Agent,10,66.2,56.33,[793 713 831 622 833],79.56,0.5,43.6,Green Door,5
4,Single,190.62,Agent,10,57.8,64.66,[ 890  916 1001  942 1034],55.62,0.2,77.2,Key Door,5
5,Single,114.35000000000001,Agent,10,49.8,23.24,[ 890  916 1001  942 1034],49.35,0.5,15.2,Key Door,5
6,Single,204.37,Agent,10,62.6,68.88,[1326 1342 1123 1124 1183],58.97,0.2,82.8,Other Door,5
7,Single,178.1,Agent,10,63.0,54.55,[1326 1342 1123 1124 1183],70.7,0.5,44.4,Other Door,5
8,Single,158.42,Agent,10,46.8,54.61,[ 313 1088 1080  823  314],47.62,0.2,64.0,Key,5
9,Single,95.57999999999998,Agent,10,48.8,9.86,[ 313 1088 1080  823  314],41.18,0.5,5.6,Key,5
10,Single,227.29999999999998,Agent,10,73.8,76.14,[1311 1046  596  594  161],69.9,0.2,83.6,Orb,5
11,Single,196.90999999999997,Agent,10,68.0,57.45,[1311 1046  596  594  161],85.71,0.5,43.2,Orb,5
12,Double,252.54000000000002,Agent,10,84.6,83.65,[512 475 507 578 388],89.14,0.2,78.8,Level Door,5
13,Double,204.44,Agent,10,69.2,56.98,[512 475 507 578 388],94.44,0.5,40.8,Level Door,5
14,Double,193.70000000000002,Agent,10,65.2,64.2,[659 707 821 646 808],66.1,0.2,62.4,Green Door,5
15,Double,171.71999999999997,Agent,10,61.6,50.26,[659 707 821 646 808],71.32,0.5,38.8,Green Door,5
16,Double,165.57000000000002,Agent,10,60.2,44.87,[ 901  992 1015  872  983],72.97,0.2,32.4,Key Door,5
17,Double,138.8,Agent,10,52.4,11.85,[ 901  992 1015  872  983],80.0,0.5,6.4,Key Door,5
18,Double,193.38,Agent,10,67.2,57.07,[1113 1251 1192 1217 1225],82.58,0.2,43.6,Other Door,5
19,Double,162.95,Agent,10,58.2,32.36,[1113 1251 1192 1217 1225],84.75,0.5,20.0,Other Door,5
20,Double,124.48,Agent,10,51.6,27.11,[ 814  281 1066  267  211],54.88,0.2,18.0,Key,5
21,Double,152.4,Agent,10,50.8,3.15,[ 814  281 1066  267  211],100.0,0.5,1.6,Key,5
22,Double,232.53,Agent,10,78.4,76.42,[ 171  175  771  185 1321],84.13,0.2,70.0,Orb,5
23,Double,158.9,Agent,10,55.0,19.35,[ 171  175  771  185 1321],93.1,0.5,10.8,Orb,5
24,Triplet,205.8,Agent,10,70.2,60.27,[576 595 565 451 599],90.4,0.2,45.2,Level Door,5
25,Triplet,169.20000000000002,Agent,10,56.4,22.7,[576 595 565 451 599],100.0,0.5,12.8,Level Door,5
26,Triplet,189.16,Agent,10,65.8,52.89,[727 629 795 601 685],84.96,0.2,38.4,Green Door,5
27,Triplet,161.69,Agent,10,56.2,23.69,[727 629 795 601 685],91.89,0.5,13.6,Green Door,5
28,Triplet,153.52,Agent,10,53.0,11.99,[1032  860  920  929 1020],94.12,0.2,6.4,Key Door,5
29,Triplet,152.4,Agent,10,50.8,3.15,[1032  860  920  929 1020],100.0,0.5,1.6,Key Door,5
30,Triplet,99.98,Agent,10,47.6,17.61,[1274 1308 1341 1339 1253],41.18,0.2,11.2,Other Door,5
31,Triplet,120.11,Agent,10,51.0,8.24,[1274 1308 1341 1339 1253],64.71,0.5,4.4,Other Door,5
32,Triplet,97.24,Agent,10,49.6,5.97,[1090  255  801 1075  337],44.44,0.2,3.2,Key,5
33,Triplet,88.3,Agent,10,49.6,2.33,[1090  255  801 1075  337],37.5,0.5,1.2,Key,5
34,Triplet,150.13,Agent,10,54.8,20.98,[1302 1308 1325 1308  754],83.33,0.2,12.0,Orb,5
35,Triplet,148.07000000000002,Agent,10,52.0,8.4,[1302 1308 1325 1308  754],91.67,0.5,4.4,Orb,5
36,Single,233.26999999999998,Agent,10,70.8,77.26,[536 539 394 432 509],63.27,0.2,99.2,Level Door,5
