,NumExp,CPR,Concept,F1Score,Pattern,Encoding,Pattern Complexity,Recall,Examples,TH,Accuracy,Precision
0,5,253.72,Level Door,83.94,Double,Agent,10,78.4,[579 507 541 597 417],0.2,85.0,90.32
1,5,197.53999999999996,Level Door,54.75,Double,Agent,10,39.2,[579 507 541 597 417],0.5,67.6,90.74
2,5,185.55,Green Door,59.36,Double,Agent,10,52.0,[831 600 701 837 757],0.2,64.4,69.15
3,5,175.01,Green Door,45.85,Double,Agent,10,32.0,[831 600 701 837 757],0.5,62.2,80.81
4,5,161.0,Key Door,49.28,Double,Agent,10,40.8,[1073  961 1032  882  852],0.2,58.0,62.2
5,5,135.97,Key Door,21.62,Double,Agent,10,12.8,[1073  961 1032  882  852],0.5,53.6,69.57
6,5,194.02999999999997,Other Door,51.01,Double,Agent,10,35.2,[1183 1128 1257 1268 1137],0.2,66.2,92.63
7,5,152.55,Other Door,11.28,Double,Agent,10,6.0,[1183 1128 1257 1268 1137],0.5,52.8,93.75
8,5,149.1,Key,44.88,Double,Agent,10,36.8,[1081 1084  331  813  307],0.2,54.8,57.5
9,5,109.74999999999999,Key,8.82,Double,Agent,10,4.8,[1081 1084  331  813  307],0.5,50.4,54.55
10,5,198.03,Orb,64.95,Double,Agent,10,60.4,[ 571 1316 1319  590  773],0.2,67.4,70.23
11,5,162.34,Orb,39.29,Double,Agent,10,26.4,[ 571 1316 1319  590  773],0.5,59.2,76.74
12,5,251.75000000000003,Level Door,83.04,SVM,Agent,10,76.4,[577 439 381 536 361],0.0,84.4,90.95
13,5,175.07,Green Door,58.85,SVM,Agent,10,61.2,[778 806 628 782 805],0.0,57.2,56.67
14,5,180.33,Key Door,53.95,SVM,Agent,10,42.4,[ 869  919 1055  871  884],0.0,63.8,74.13
15,5,205.85000000000002,Other Door,68.87,SVM,Agent,10,70.8,[1340 1157 1172 1147 1100],0.0,68.0,67.05
16,5,150.15,Key,51.68,SVM,Agent,10,58.4,[ 252  843 1050  339 1094],0.0,45.4,46.35
17,5,222.06,Orb,74.3,SVM,Agent,10,89.6,[ 152  585 1335  167  578],0.0,69.0,63.46
18,5,246.60999999999999,Level Door,82.28,Double,Agent,10,83.6,[452 427 465 355 583],0.2,82.0,81.01
19,5,196.17,Level Door,53.93,Double,Agent,10,38.4,[452 427 465 355 583],0.5,67.2,90.57
20,5,203.07999999999998,Green Door,67.08,Double,Agent,10,64.0,[771 744 788 620 814],0.2,68.6,70.48
21,5,191.0,Green Door,56.4,Double,Agent,10,43.2,[771 744 788 620 814],0.5,66.6,81.2
22,5,145.23,Key Door,45.41,Double,Agent,10,39.6,[1078 1020  865 1051 1079],0.2,52.4,53.23
23,5,138.0,Key Door,23.33,Double,Agent,10,14.0,[1078 1020  865 1051 1079],0.5,54.0,70.0
24,5,188.97000000000003,Other Door,60.59,Double,Agent,10,53.2,[1309 1316 1264 1198 1167],0.2,65.4,70.37
25,5,185.79000000000002,Other Door,43.21,Double,Agent,10,28.0,[1309 1316 1264 1198 1167],0.5,63.2,94.59
26,5,130.53,Key,34.59,Double,Agent,10,25.6,[ 211 1099 1067  841 1092],0.2,51.6,53.33
27,5,100.28,Key,13.51,Double,Agent,10,8.0,[ 211 1099 1067  841 1092],0.5,48.8,43.48
28,5,226.48000000000002,Orb,74.06,Double,Agent,10,66.8,[758 788 196 191 158],0.2,76.6,83.08
29,5,180.14,Orb,42.68,Double,Agent,10,28.0,[758 788 196 191 158],0.5,62.4,89.74
30,5,211.26999999999998,Level Door,70.21,SVM,Agent,10,68.8,[532 374 555 470 566],0.0,70.8,71.67
31,5,170.26,Green Door,57.52,SVM,Agent,10,61.2,[804 652 692 600 742],0.0,54.8,54.26
32,5,152.59,Key Door,46.78,SVM,Agent,10,39.2,[ 931 1005 1030 1063  907],0.0,55.4,57.99
33,5,197.58,Other Door,66.78,SVM,Agent,10,78.0,[1205 1105 1232 1137 1144],0.0,61.2,58.38
34,5,204.70999999999998,Key,68.98,SVM,Agent,10,83.6,[ 340  833 1063  329 1086],0.0,62.4,58.71
