,Recall,Accuracy,Precision,Concept,CPR,NumExp,F1Score,Examples,Encoding,Pattern Complexity,TH,PC
0,68.4,79.2,87.24,Level Door,234.84,5,76.68,[581 405 502 550 426],External,,0.2,10.0
1,48.0,71.6,90.91,Level Door,210.51,5,62.83,[581 405 502 550 426],External,,0.5,10.0
2,26.0,58.6,74.71,Green Door,159.31,5,38.58,[612 741 743 848 750],External,,0.2,10.0
3,14.0,55.6,83.33,Green Door,152.93,5,23.97,[612 741 743 848 750],External,,0.5,10.0
4,21.2,57.8,79.1,Key Door,158.09999999999997,5,33.44,[851 905 986 959 890],External,,0.2,10.0
5,5.6,52.2,82.35,Key Door,140.15,5,10.49,[851 905 986 959 890],External,,0.5,10.0
6,22.0,54.0,61.11,Other Door,137.11,5,32.35,[1233 1217 1285 1238 1159],External,,0.2,10.0
7,6.0,51.0,60.0,Other Door,117.0,5,10.91,[1233 1217 1285 1238 1159],External,,0.5,10.0
8,19.2,56.4,75.0,Key,150.6,5,30.57,[816 325 824 228 233],External,,0.2,10.0
9,4.8,51.8,80.0,Key,136.60000000000002,5,9.06,[816 325 824 228 233],External,,0.5,10.0
10,22.8,52.6,56.44,Orb,131.84,5,32.48,[1020 1040 1317 1319 1008],External,,0.2,10.0
11,4.8,49.4,44.44,Orb,98.64,5,8.66,[1020 1040 1317 1319 1008],External,,0.5,10.0
12,32.0,62.0,80.0,Level Door,174.0,5,45.71,[358 516 596 598 563],Ext+Int,,0.2,10.0
13,19.2,57.6,82.76,Level Door,159.56,5,31.17,[358 516 596 598 563],Ext+Int,,0.5,10.0
14,23.2,57.2,72.5,Green Door,152.89999999999998,5,35.15,[704 633 825 697 768],Ext+Int,,0.2,10.0
15,0.4,50.2,100.0,Green Door,150.6,5,0.8,[704 633 825 697 768],Ext+Int,,0.5,10.0
16,31.2,54.6,58.65,Key Door,144.45,5,40.73,[1069 1021 1029  930  936],Ext+Int,,0.2,10.0
17,5.2,51.8,76.47,Key Door,133.46999999999997,5,9.74,[1069 1021 1029  930  936],Ext+Int,,0.5,10.0
18,35.6,52.6,53.94,Other Door,142.14,5,42.89,[1160 1309 1291 1187 1342],Ext+Int,,0.2,10.0
19,8.8,51.6,61.11,Other Door,121.51,5,15.38,[1160 1309 1291 1187 1342],Ext+Int,,0.5,10.0
20,17.6,48.6,46.32,Key,112.52000000000001,5,25.51,[ 207 1089  844 1068  207],Ext+Int,,0.2,10.0
21,0.0,50.0,0.0,Key,0.0,5,0.0,[ 207 1089  844 1068  207],Ext+Int,,0.5,10.0
22,35.6,61.6,74.17,Orb,171.37,5,48.11,[ 166  192 1307 1048 1003],Ext+Int,,0.2,10.0
23,3.2,51.6,100.0,Orb,154.79999999999998,5,6.2,[ 166  192 1307 1048 1003],Ext+Int,,0.5,10.0
24,65.6,73.8,78.47,Level Door,217.86999999999998,5,71.46,[435 356 422 532 360],Internal,,0.2,10.0
25,28.0,61.0,82.35,Level Door,171.35,5,41.79,[435 356 422 532 360],Internal,,0.5,10.0
26,54.8,66.8,72.11,Green Door,193.70999999999998,5,62.27,[762 716 725 749 756],Internal,,0.2,10.0
27,42.8,67.6,84.92,Green Door,195.32,5,56.91,[762 716 725 749 756],Internal,,0.5,10.0
28,52.4,64.0,68.23,Key Door,184.63000000000002,5,59.28,[987 946 926 900 880],Internal,,0.2,10.0
29,8.8,53.4,81.48,Key Door,143.68,5,15.88,[987 946 926 900 880],Internal,,0.5,10.0
30,55.6,71.2,80.81,Other Door,207.60999999999999,5,65.88,[1336 1208 1270 1298 1299],Internal,,0.2,10.0
31,20.0,59.8,98.04,Other Door,177.84,5,33.22,[1336 1208 1270 1298 1299],Internal,,0.5,10.0
32,34.0,50.4,50.6,Key,135.0,5,40.67,[256 211 255 294 339],Internal,,0.2,10.0
33,5.2,51.2,65.0,Key,121.4,5,9.63,[256 211 255 294 339],Internal,,0.5,10.0
34,53.6,67.0,73.22,Orb,193.82,5,61.89,[1338  795 1030  591 1010],Internal,,0.2,10.0
35,20.8,58.6,85.25,Orb,164.65,5,33.44,[1338  795 1030  591 1010],Internal,,0.5,10.0
36,64.4,77.6,87.5,Level Door,229.5,5,74.19,[368 495 433 532 474],External,,0.2,10.0
37,44.4,69.8,90.24,Level Door,204.44,5,59.52,[368 495 433 532 474],External,,0.5,10.0
38,36.4,57.8,63.64,Green Door,157.84,5,46.31,[638 608 606 634 663],External,,0.2,10.0
39,24.8,57.8,72.94,Green Door,155.54000000000002,5,37.01,[638 608 606 634 663],External,,0.5,10.0
40,30.4,53.6,56.72,Key Door,140.72,5,39.58,[ 972  988 1022 1016  992],External,,0.2,10.0
41,10.8,54.6,87.1,Key Door,152.5,5,19.22,[ 972  988 1022 1016  992],External,,0.5,10.0
42,14.4,55.8,83.72,Other Door,153.92,5,24.57,[1153 1174 1323 1179 1162],External,,0.2,10.0
43,8.4,54.2,100.0,Other Door,162.6,5,15.5,[1153 1174 1323 1179 1162],External,,0.5,10.0
44,13.6,52.0,58.62,Key,124.22,5,22.08,[ 235  261  812 1083  318],External,,0.2,10.0
45,5.6,51.0,60.87,Key,117.47,5,10.26,[ 235  261  812 1083  318],External,,0.5,10.0
46,15.2,53.4,64.41,Orb,133.01,5,24.6,[ 193 1310  186  587  763],External,,0.2,10.0
47,2.4,51.2,100.0,Orb,153.6,5,4.69,[ 193 1310  186  587  763],External,,0.5,10.0
48,46.4,71.4,92.8,Level Door,210.6,5,61.87,[535 469 545 441 588],Ext+Int,,0.2,10.0
49,36.0,66.8,93.75,Level Door,196.55,5,52.02,[535 469 545 441 588],Ext+Int,,0.5,10.0
50,56.0,68.2,74.07,Green Door,198.26999999999998,5,63.78,[607 807 676 772 827],Ext+Int,,0.2,10.0
51,36.8,62.0,74.19,Green Door,172.99,5,49.2,[607 807 676 772 827],Ext+Int,,0.5,10.0
52,16.0,53.6,64.52,Key Door,134.12,5,25.64,[1032 1003  927  875  947],Ext+Int,,0.2,10.0
